Dataset,#TrainingRelease,%Training,%DefectiveTraining,%DefectiveTesting,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Smote,Best first selection,No cost sensitive,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Smote,Best first selection,No cost sensitive,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Smote,Best first selection,No cost sensitive,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Smote,Best first selection,Sensitive threshold,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Smote,Best first selection,Sensitive threshold,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Smote,Best first selection,Sensitive threshold,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,RandomForest,Smote,Best first selection,Sensitive learning,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,NaiveBayes,Smote,Best first selection,Sensitive learning,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,2,92.85394,17.794037,1.7040359,IBk,Smote,Best first selection,Sensitive learning,0,0,1097,19,NaN,0,0.5,0,,,,,
STORM,3,95.53079,16.643167,38.49315,RandomForest,No sampling,No selection,No cost sensitive,276,0,449,6,1,0.978723404,0.994337298,0.982611385,,,,,
STORM,3,95.53079,16.643167,38.49315,NaiveBayes,No sampling,No selection,No cost sensitive,59,2,447,223,0.967213115,0.209219858,0.982166833,0.239699717,,,,,
STORM,3,95.53079,16.643167,38.49315,IBk,No sampling,No selection,No cost sensitive,113,4,445,169,0.965811966,0.40070922,0.69181317,0.43963825,,,,,
STORM,3,95.53079,16.643167,38.49315,RandomForest,No sampling,No selection,Sensitive threshold,276,0,449,6,1,0.978723404,0.994337298,0.982611385,,,,,
STORM,3,95.53079,16.643167,38.49315,NaiveBayes,No sampling,No selection,Sensitive threshold,59,2,447,223,0.967213115,0.209219858,0.982166833,0.239699717,,,,,
STORM,3,95.53079,16.643167,38.49315,IBk,No sampling,No selection,Sensitive threshold,113,4,445,169,0.965811966,0.40070922,0.69181317,0.43963825,,,,,
STORM,3,95.53079,16.643167,38.49315,RandomForest,No sampling,No selection,Sensitive learning,276,5,444,6,0.982206406,0.978723404,0.99493358,0.968226057,,,,,
STORM,3,95.53079,16.643167,38.49315,NaiveBayes,No sampling,No selection,Sensitive learning,69,3,446,213,0.958333333,0.244680851,0.982166833,0.276257529,,,,,
STORM,3,95.53079,16.643167,38.49315,IBk,No sampling,No selection,Sensitive learning,113,4,445,169,0.965811966,0.40070922,0.69181317,0.43963825,,,,,
STORM,3,95.53079,16.643167,38.49315,RandomForest,No sampling,Best first selection,No cost sensitive,276,0,449,6,1,0.978723404,0.989361702,0.982611385,,,,,
STORM,3,95.53079,16.643167,38.49315,NaiveBayes,No sampling,Best first selection,No cost sensitive,275,0,449,7,1,0.975177305,0.989361702,0.979699842,,,,,
STORM,3,95.53079,16.643167,38.49315,IBk,No sampling,Best first selection,No cost sensitive,276,0,449,6,1,0.978723404,0.989361702,0.982611385,,,,,
STORM,3,95.53079,16.643167,38.49315,RandomForest,No sampling,Best first selection,Sensitive threshold,276,0,449,6,1,0.978723404,0.989361702,0.982611385,,,,,
STORM,3,95.53079,16.643167,38.49315,NaiveBayes,No sampling,Best first selection,Sensitive threshold,275,0,449,7,1,0.975177305,0.989361702,0.979699842,,,,,
STORM,3,95.53079,16.643167,38.49315,IBk,No sampling,Best first selection,Sensitive threshold,276,0,449,6,1,0.978723404,0.989361702,0.982611385,,,,,
STORM,3,95.53079,16.643167,38.49315,RandomForest,No sampling,Best first selection,Sensitive learning,276,0,449,6,1,0.978723404,0.989361702,0.982611385,,,,,
STORM,3,95.53079,16.643167,38.49315,NaiveBayes,No sampling,Best first selection,Sensitive learning,276,0,449,6,1,0.978723404,0.989361702,0.982611385,,,,,
STORM,3,95.53079,16.643167,38.49315,IBk,No sampling,Best first selection,Sensitive learning,276,0,449,6,1,0.978723404,0.989361702,0.982611385,,,,,
